Level,Date and Time,Source,Event ID,Task Category
Warning,7/18/2018 5:00:06 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name javafx timed out after none of the configured DNS servers responded.
Information,7/18/2018 4:43:20 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 4:41:01 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/18/2018 4:28:17 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name getlasterror timed out after none of the configured DNS servers responded.
Information,7/18/2018 4:27:49 PM,Microsoft-Windows-GroupPolicy,1501,None,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/18/2018 4:19:06 PM,Microsoft-Windows-DNS-Client,8019,(1028),"The system failed to register host (A or AAAA) resource records (RRs) for network adapter
with settings:

           Adapter Name : {D8E1E31A-6CDC-4DF9-A781-06398854202A}
           Host Name : 45212MLIU-7
           Primary Domain Suffix : corp.premierinc.com
           DNS server list :
             	206.71.92.6, 206.71.92.5
           Sent update to server : 10.32.2.53:53
           IP Address(es) :
             206.71.92.121

The reason the system could not register these RRs was because of a security related problem. The cause of this could be (a) your computer does not have permissions to register and update the specific DNS domain name set for this adapter, or (b) there might have been a problem negotiating valid credentials with the DNS server during the processing of the update request.

You can manually retry DNS registration of the network adapter and its settings by typing 'ipconfig /registerdns' at the command prompt. If problems still persist, contact your DNS server or network systems administrator. See event details for specific error code information."
Information,7/18/2018 4:18:29 PM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,7/18/2018 4:04:52 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name error_bad_pathname timed out after none of the configured DNS servers responded.
Warning,7/18/2018 3:55:23 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name evtx timed out after none of the configured DNS servers responded.
Information,7/18/2018 3:43:13 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,7/18/2018 3:40:57 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,7/18/2018 3:40:16 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wprintf timed out after none of the configured DNS servers responded.
